"","sex","joint","reachheight","deviation","moment","Fstat","numdf","dendf","adjrsquared","residualstderror","slope_coefficient","slope_standarderror","slope_tvalue","slope_pvalue"
"1","M","Wrist",80,-1,"Norm_RE_Moment",1860.09137301282,1,2998,0.382679375554823,1.08293605729918,0.499305013628956,0.0115770734234209,43.1287766231872,1.34983022933634e-316
"2","M","Wrist",80,-1,"Norm_RS_Moment",486.354488731818,1,2998,0.139295381770547,0.956049477944147,0.225399426346967,0.010220598832203,22.0534461872018,5.24106561141961e-100
"3","M","Wrist",80,-1,"Norm_B_Moment",16.6950132135246,1,2998,0.00520616949466957,11.5558357167057,0.504766723033259,0.123537080199308,4.08595315850833,4.50469787616785e-05
"4","M","Wrist",80,1,"Norm_RE_Moment",1721.91516546597,1,2998,0.364607223887693,1.14579223983119,0.508285505748866,0.012249034279636,41.4959656528915,8.4227457386332e-298
"5","M","Wrist",80,1,"Norm_RS_Moment",538.04694649794,1,2998,0.151877776122239,0.920817889690107,0.228338848819405,0.00984395731095019,23.1958389910332,1.29906155918904e-109
"6","M","Wrist",80,1,"Norm_B_Moment",15.0927796527774,1,2998,0.00467718078512058,11.8020020568602,0.490158203170004,0.126168709070778,3.88494268333234,0.000104566850997388
"7","M","Elbow",80,-1,"Norm_RE_Moment",7.05388894997003e-25,1,2998,-0.000333555703802446,1.11421578381438,-1.79997517863043e-16,0.0119114677656262,-1.51112794329575e-14,0.999999999999988
"8","M","Elbow",80,-1,"Norm_RS_Moment",280.156027473532,1,2998,0.0851564187714022,0.950652028816306,0.170105179740227,0.0101628976739204,16.7378620938735,3.45046279258863e-60
"9","M","Elbow",80,-1,"Norm_B_Moment",0.0437037634204991,1,2998,-0.000318973414356494,11.6888475355658,-0.0261232427240729,0.124959036355211,-0.209054450850713,0.83441993482475
"10","M","Elbow",80,1,"Norm_RE_Moment",1.13586082523087e-24,1,2998,-0.000333555703802446,1.11421578381438,1.54869078062464e-16,0.0119114677656262,1.30016788115215e-14,0.99999999999999
"11","M","Elbow",80,1,"Norm_RS_Moment",396.588034934725,1,2998,0.116534917010138,0.935728327481556,0.199212026937343,0.0100033565958142,19.9145181948928,5.61575658439837e-83
"12","M","Elbow",80,1,"Norm_B_Moment",0.070629268670609,1,2998,-0.000309989605400407,11.6761644173337,0.0331732888323693,0.12482344811801,0.265761676452061,0.790441033423145
"13","M","Shoulder",80,-1,"Norm_RE_Moment",1.20372128654477e-24,1,2998,-0.000333555703802446,1.11421578381438,5.3732207732988e-16,0.0119114677656262,4.5109644579694e-14,0.999999999999964
"14","M","Shoulder",80,-1,"Norm_RS_Moment",295.777972885938,1,2998,0.0894953986918735,0.95835335519335,0.176199452754373,0.0102452283159964,17.1981967916969,2.70533634281914e-63
"15","M","Shoulder",80,-1,"Norm_B_Moment",0.139614576841672,1,2998,-0.000286973101244259,11.6797665909756,0.046654712719788,0.124861956974054,0.373650340347321,0.708690896148109
"16","M","Shoulder",80,1,"Norm_RE_Moment",9.81370825986989e-25,1,2998,-0.000333555703802446,1.11421578381438,3.26910802069827e-16,0.0119114677656262,2.74450477894266e-14,0.999999999999978
"17","M","Shoulder",80,1,"Norm_RS_Moment",390.305752570494,1,2998,0.114896877967743,0.929224009589758,0.196254160480304,0.00993382251271201,19.7561573331075,9.08606776074548e-82
"18","M","Shoulder",80,1,"Norm_B_Moment",0.57814145208537,1,2998,-0.000140686194594286,11.689214101041,0.0950163495661736,0.124962955104977,0.76035613503501,0.447101527438829
"19","M","Wrist",100,-1,"Norm_RE_Moment",1901.49892070734,1,2998,0.38789658931754,1.07128471660696,0.49940044412504,0.011452515352087,43.6061798453765,3.95252516672997e-322
"20","M","Wrist",100,-1,"Norm_RS_Moment",6.82812672517465,1,2998,0.00193958738383049,4.62361677022948,-0.129160164696881,0.0494285424055453,-2.61306845015099,0.00901816644263593
"21","M","Wrist",100,-1,"Norm_B_Moment",66.0655598739738,1,2998,0.021235041679934,10.042135040931,0.872588712087594,0.107354939299659,8.12807233444514,6.31161931559312e-16
"22","M","Wrist",100,1,"Norm_RE_Moment",1772.93646057961,1,2998,0.371402234177804,1.12933737056459,0.50835401581732,0.0120731243278082,42.1062520367178,8.35534911940858e-305
"23","M","Wrist",100,1,"Norm_RS_Moment",0.737473578395902,1,2998,-8.75456500999405e-05,3.8073690811894,-0.0349537829379666,0.0407024875623057,-0.858762818475425,0.39054003909148
"24","M","Wrist",100,1,"Norm_B_Moment",33.7425953035873,1,2998,0.0107999258757351,12.8731091647538,0.799408325971212,0.137619325705852,5.80883768955436,6.95078604691927e-09
"25","M","Elbow",100,-1,"Norm_RE_Moment",42.0358738363458,1,2998,0.0134984834190661,1.0979631816124,-0.0761016004814137,0.0117377201396738,-6.48350783421633,1.04416993659713e-10
"26","M","Elbow",100,-1,"Norm_RS_Moment",12.4527062062172,1,2998,0.00380431361124101,4.39807156364821,0.165916713375163,0.0470173627248132,3.52883921512684,0.00042365998722443
"27","M","Elbow",100,-1,"Norm_B_Moment",0.165677875763402,1,2998,-0.000278277524952353,11.3042225298942,-0.0491891061264896,0.120847222087756,-0.407035472365013,0.68401099299962
"28","M","Elbow",100,1,"Norm_RE_Moment",0.0322235221920678,1,2998,-0.000322803894572843,1.10222081892308,-0.00211519829579728,0.0117832361970845,-0.1795091145097,0.857550092125098
