"","Sex","Joint_Pert","Reach_Height","Joint","meandiff_RE_Moment","meandiff_RS_Moment","meandiff_B_Moment","stddiff_RE_Moment","stddiff_RS_Moment","stddiff_B_Moment","meandiff_Norm_RE_Moment","meandiff_Norm_RS_Moment","meandiff_Norm_B_Moment","stddiff_Norm_RE_Moment","stddiff_Norm_RS_Moment","stddiff_Norm_B_Moment"
"1","F",-5,80,"Elbow",0.000367178754436862,-0.574584447379474,0.271819645205205,0.00821036654815368,0.13828321951354,0.117530254477075,0.00135992131272916,-1.06404527292495,0.198516276229117,0.0304087649931618,0.256080036136185,0.0856252999674816
"2","F",-5,80,"Shoulder",0.000418125081474381,-0.562191560863268,-0.766341024748153,0.00934956105278168,0.146748561829362,0.302836803194475,0.00154861141286804,-1.04109548308013,-0.563585367982056,0.0346280038991915,0.271756595980299,0.247264032950932
"3","F",-5,80,"Wrist",-1.05073440902894,-0.966255310080367,-6.13193880062134,0.0482078482925702,0.222466887762739,1.4587998195598,-3.8916089223294,-1.78936168533401,-4.47637517192408,0.178547586268779,0.411975718079147,1.06450264557037
"4","F",-5,100,"Elbow",0.493717146956763,-0.256535337860176,0.0208435788204848,0.0656800885331925,0.114945010825324,0.100922114765056,1.82418171149703,-0.475269667582571,0.0281991258260025,0.247008634616157,0.212675012446713,0.0819925084632387
"5","F",-5,100,"Shoulder",0.927776638894353,-0.476869363371676,-0.342521128374995,0.175513604800845,0.144928746939639,0.372325307410339,3.42014372289834,-0.883562490760616,-0.547857206922232,0.647521171163226,0.267975128408134,0.405550345212953
"6","F",-5,100,"Wrist",-1.06175819408591,0.457343640559681,-0.0800500708375841,0.0356450083075011,0.298868235489954,1.26046170222237,-3.93144784390459,0.847236731365494,-0.049405764769946,0.135502397870303,0.5532241873927,0.925816883846732
"7","F",-5,120,"Elbow",0.601663036880436,-0.0814603590348119,0.0115884600997973,0.0162897964084851,0.052283379345292,0.0157432166547404,1.49528679184168,-0.176575836262758,0.00814219519019925,0.13419994614435,0.111255273841727,0.0132144377722987
"8","F",-5,120,"Shoulder",1.32215655271461,-0.194752811667138,-0.130374190179703,0.0324518985703199,0.12085410059747,0.0613312172025613,3.25758127463951,-0.422267453683457,-0.122607339422439,0.161991058206451,0.25785215978879,0.0744604453123973
"9","F",-5,120,"Wrist",-1.09462915584914,-0.948064551435165,12.5227361518945,0.0803924011246135,1.13502478844533,11.8617551484014,-3.43074023448296,-2.11262674492299,9.14140826089009,0.588591125791576,2.51608052139086,8.65744953798733
"10","F",-5,140,"Elbow",0.565305961734294,0.00180748945667641,0.476591927217728,0.0799438632478791,0.190581401201215,4.0479307340567,1.37879502862023,0.0040166432370588,0.347877319137028,0.1949850323119,0.42351422489159,2.95469396646474
"11","F",-5,140,"Shoulder",1.24005767326799,0.0791415142107606,-0.846232577550533,0.183109486148559,0.158251646929754,2.97724479789767,3.02453091040973,0.175870031579468,-0.929435949751696,0.446608502801363,0.351670326510564,4.95399629490379
"12","F",-5,140,"Wrist",-1.03953730607338,-2.27796816424134,31.243001030148,0.0898102872383228,0.377205901643038,7.99701612613288,-2.53641964634767,-5.06215147609186,22.8051102409839,0.22218603847463,0.838235336984529,5.83723804827217
"13","F",5,80,"Elbow",-1.7990053891026e-15,0.697357428976853,0.460015969848084,3.94070620763358e-14,0.140371981926069,0.265853666956182,-6.66844357510854e-15,1.29140264625343,0.335951550022946,1.45984071788441e-13,0.259948114677906,0.19728017637424
"14","F",5,80,"Shoulder",-1.58317803311547e-15,0.643268334076578,1.20768926612091,3.96976977676069e-14,0.146420469432942,0.316341137364445,-5.85309578582383e-15,1.19123765569737,0.881698481608954,1.47054227756286e-13,0.271149017468412,0.233262534537143
"15","F",5,80,"Wrist",1.07606954785821,1.00663082314273,5.82919598988302,0.0473391123687908,0.0911978976430284,1.46697494494123,3.98544276984524,1.86413115396803,4.25506105369808,0.175330045810336,0.168884995635238,1.07136593813068
"16","F",5,100,"Elbow",-0.201797327531731,0.957646999437706,-13.9832829129903,0.241307249904432,0.602954803893955,11.6533526651641,-0.746407597407649,1.77359662183297,-23.4094726607336,0.892573486751223,1.11634088105283,19.245659701296
"17","F",5,100,"Shoulder",-0.345881191391597,0.124108570486429,7.40889889885399,0.456793161806494,0.116329958471627,4.66051833291672,-1.28005153762937,0.230182298851534,5.61584621814419,1.69013161147133,0.215829034632848,3.38831953749398
"18","F",5,100,"Wrist",1.08356346884045,-0.6055516232333,0.366623873111213,0.0387599482385041,0.394049659596584,3.21599397487904,3.99952833467318,-1.12180539488704,0.199796793983581,0.206602156721739,0.729408427884626,3.07577338052058
"19","F",5,120,"Elbow",-0.607784309361065,0.0631794237010414,-0.014175569592283,0.0176350788536234,0.0490698574326695,0.0162778550796594,-1.76022211191795,0.136828446863272,-0.0103911687981909,0.29599285848362,0.104981692798745,0.0137203668809417
"20","F",5,120,"Shoulder",-0.802990380141204,-0.0691616888247371,5.17596012328593,0.52360881165396,0.248969847708634,4.61589060881552,-2.57341862139692,-0.160263740111972,3.78374558864686,1.84577015714895,0.545263889941503,3.36325327517066
